Ticker,Times_Selected
EPD,33
AEM,31
B,29
CNQ,29
AMAT,28
COP,27
BK,27
AEP,26
ET,24
ENB,23
PLD,22
CCJ,21
CTRA,21
INVH,20
AMD,19
PGR,19
ARLP,19
MPLX,18
DUK,18
EOG,18
ALL,18
ICE,18
COLD,17
WRB,17
FAST,17
SPY,17
NEE,16
ACN,16
CME,16
NDAQ,16
