Sector,Perf Half,Perf Year
Basic Materials,0.4408647940074906,0.38831011235955054
Communication Services,0.16830745098039215,0.11653647058823531
Consumer Cyclical,0.25822637362637363,0.07313131868131868
Consumer Defensive,0.07488051948051949,0.0337995670995671
Energy,0.24647644628099175,0.042397107438016536
Financial,0.15941941768357953,0.10705898094626418
Healthcare,0.4075104967197751,0.2174933458294283
Industrials,0.3120732909379968,0.2036381558028617
Technology,0.41200708446866485,0.5315275204359673
Utilities,0.2571632075471698,0.22080283018867924
