Year,Avg_Ret%,N,Win_Rate,Avg_Outperf%
2018,1.74,6,3/6,-8.36
2019,2.9,20,12/20,-10.74
2020,17.49,13,12/13,-19.14
2021,0.25,12,7/12,4.92
2022,-3.25,10,4/10,-6.77
2023,4.73,16,11/16,-24.01
2024,7.06,15,10/15,-9.82
2025,7.93,8,5/8,-12.75
