Metric,Ciclu1,Ciclu2,Ciclu3,C2vsC1,C3vsC2,Trend
Win Rate,50.6,52.0,64.0,1.4,12.0,+
Beat SPY,29.1,20.0,22.0,-9.1,2.0,+
Avg Return,11.98,2.4,5.11,-9.58,2.71,+
Med Return,0.09,0.32,4.93,0.23,4.61,+
Avg DD,-27.38,-14.83,-15.46,12.55,-0.63,+
Avg Vol,32.42,15.15,17.05,-17.27,1.9,-
Avg Alpha,-2.14,-9.17,-5.46,-7.03,3.71,+
Cash Drag,15.5,3.8,4.02,-11.7,0.22,-
DD<-30%,35.0,2.0,3.0,-33.0,1.0,-
Avg Stocks,7.6,8.4,8.55,0.8,0.15,+
