Ticker,Count
AMAT,32
CNQ,29
COP,27
EPD,25
APH,25
PGR,24
BK,24
AEM,24
INVH,22
EOG,22
SO,22
CTRA,21
SRE,20
FAST,20
ALL,20
LNG,19
APA,19
AEP,19
CSCO,19
B,19
SPOT,18
MPLX,18
AMT,17
CCI,17
ENB,17
WMT,17
NEM,17
HSBC,17
BTI,17
SPY,16
