Ticker,Times_Selected
INVH,38
EPD,33
SRE,32
PGR,32
CSCO,31
NDAQ,30
SO,29
PLD,29
BK,28
WMT,27
WRB,26
IBN,25
TGT,25
NEE,24
ICE,24
CCI,24
V,24
HSBC,23
AEM,23
EXC,23
ALL,23
ENB,23
EQR,22
UNH,22
SONY,21
WPM,21
TT,21
TSM,20
ZM,20
LNG,19
