Quartile,Avg_Return%,Avg_DD%,Avg_Sharpe,Conservative,Balanced,Aggressive
Bottom 25%,-24.13,-41.73,-0.7,9,15,15
Top 25%,66.0,-24.42,1.07,16,12,12
