Profile,N,Avg_Ret%,Med_Ret%,Win%,BeatSPY%,Avg_Sharpe,Med_Sharpe,Avg_DD%,Avg_Vol%,Avg_Alpha%,Avg_Outperf%,Avg_Stocks
Conservative,74,10.27,8.85,70.3,44.6,0.44,0.39,-15.86,18.06,-1.34,-3.08,12.6
Balanced,63,20.65,17.06,74.6,58.7,0.65,0.75,-18.27,21.14,3.59,5.59,8.9
Aggressive,63,8.76,-5.47,42.9,14.3,0.02,-0.14,-32.75,44.05,1.07,-8.31,8.2
