Metric,C1,C2,C3,C4,C4vsC3,Trend
Win Rate,50.6,52.0,64.0,57.0,-7.0,-
Beat SPY,29.1,20.0,22.0,29.0,7.0,+
Avg Return,11.98,2.4,5.11,5.55,0.44,+
Med Return,0.09,0.32,4.93,4.04,-0.88,-
Avg DD,-27.38,-14.83,-15.46,-17.03,-1.57,+
Avg Vol,32.42,15.15,17.05,18.49,1.44,-
Avg Alpha,-2.14,-9.17,-5.46,-4.49,0.97,+
Cash Drag,15.5,3.8,4.0,7.11,3.11,-
DD<-30%,35.0,2.0,3.0,5.0,2.0,-
Avg Stocks,7.6,8.4,8.5,9.04,0.54,+
