Ticker,Count
PGR,29
INVH,29
EPD,26
SO,25
SPY,25
AEM,24
TGT,24
AMAT,22
WMT,21
BK,20
MPLX,20
AEP,20
CCJ,19
CSCO,19
NDAQ,19
DUK,19
NEE,19
SRE,19
TSM,18
COST,18
GLW,18
CME,18
B,18
WPM,18
PLD,18
NEM,17
CNQ,17
WMB,17
WRB,17
ET,17
