Metric,C1,C2,C3,C4,C5,C5vsC4,Trend
Win Rate,50.6,52.0,64.0,57.0,64.5,7.5,+
Beat SPY,29.1,20.0,22.0,29.0,26.5,-2.5,-
Avg Return,11.98,2.4,5.11,5.55,5.6,0.05,+
Med Return,0.09,0.32,4.93,4.04,4.52,0.48,+
Avg DD,-27.38,-14.83,-15.46,-17.03,-16.26,0.77,-
Avg Vol,32.42,15.15,17.05,18.49,17.68,-0.81,+
Avg Alpha,-2.14,-9.17,-5.46,-4.49,-5.68,-1.19,-
Cash Drag,15.5,3.8,4.0,7.1,4.14,-2.96,+
DD<-30%,35.0,2.0,3.0,5.0,3.5,-1.5,+
Avg Stocks,7.6,8.4,8.5,9.0,9.31,0.31,+
