Year,Avg_Ret%,Med_Ret%,N,Win_Rate,Avg_Outperf%,Med_Outperf%
2018,3.92,4.46,21,13/21,-2.39,-3.89
2019,-4.85,-5.88,30,9/30,-18.38,-19.12
2020,18.37,16.32,29,26/29,-15.61,-15.72
2021,4.1,3.94,29,20/29,5.51,7.31
2022,-5.19,-4.88,26,10/26,-14.81,-15.22
2023,5.55,4.45,30,19/30,-23.75,-25.97
2024,9.57,12.3,25,22/25,-6.22,-6.01
2025,26.18,29.52,10,10/10,6.84,7.8
