Ticker,Count
AEM,71
PLD,55
AMAT,55
EPD,52
PGR,50
WPM,49
SPY,47
CCJ,46
HSBC,45
NEM,44
COP,44
INVH,44
ICE,43
NDAQ,43
CTRA,42
BK,41
MPLX,41
B,41
TSM,41
CME,40
SO,39
TER,39
CNQ,38
UCTT,37
WRB,36
APA,36
LRCX,35
CSCO,34
GLW,33
NEE,33
